transaction_ref,account_id,amount,currency,transaction_type,direction,counterparty_country,channel,jurisdiction,description,transaction_time
DEMO-FIXTURE-T-CRITICAL_FX-DEPOSIT,DEMO-FIXTURE-A-CRITICAL_FX,1665000,INR,CASH_DEPOSIT,INBOUND,IN,ONLINE,IN,Synthetic INR deposit equivalent to USD 20000 at the seeded FX rate,2030-01-15T12:00:00Z
DEMO-FIXTURE-T-CRITICAL_FX-OUT,DEMO-FIXTURE-A-CRITICAL_FX,1415250,INR,TRANSFER,OUTBOUND,IR,ONLINE,IR,Synthetic INR transfer of 85 percent of deposit to a configured high-risk country,2030-01-15T12:45:00Z
DEMO-FIXTURE-T-LOW_CTR-WIRE,DEMO-FIXTURE-A-LOW_CTR,12500,USD,TRANSFER,OUTBOUND,IN,ONLINE,IN,Synthetic large domestic supplier payment; threshold rule only,2030-01-15T12:00:00Z
DEMO-FIXTURE-T-NORMAL-1,DEMO-FIXTURE-A-NORMAL,127.35,USD,PAYMENT,OUTBOUND,IN,ONLINE,IN,Synthetic ordinary domestic purchase; no rule expected,2030-01-15T12:00:00Z
DEMO-FIXTURE-T-NORMAL-2,DEMO-FIXTURE-A-NORMAL,42.8,USD,PAYMENT,OUTBOUND,IN,ONLINE,IN,Synthetic ordinary domestic purchase; no rule expected,2030-01-15T12:05:00Z
DEMO-FIXTURE-T-NORMAL-3,DEMO-FIXTURE-A-NORMAL,315.6,USD,PAYMENT,OUTBOUND,IN,ONLINE,IN,Synthetic ordinary domestic purchase; no rule expected,2030-01-15T12:10:00Z
DEMO-FIXTURE-T-NORMAL-4,DEMO-FIXTURE-A-NORMAL,89.99,USD,PAYMENT,OUTBOUND,IN,ONLINE,IN,Synthetic ordinary domestic purchase; no rule expected,2030-01-15T12:15:00Z
DEMO-FIXTURE-T-NORMAL-5,DEMO-FIXTURE-A-NORMAL,560.25,USD,PAYMENT,OUTBOUND,IN,ONLINE,IN,Synthetic ordinary domestic purchase; no rule expected,2030-01-15T12:20:00Z
DEMO-FIXTURE-T-NORMAL-6,DEMO-FIXTURE-A-NORMAL,23.4,USD,PAYMENT,OUTBOUND,IN,ONLINE,IN,Synthetic ordinary domestic purchase; no rule expected,2030-01-15T12:25:00Z
DEMO-FIXTURE-T-NORMAL-7,DEMO-FIXTURE-A-NORMAL,178.65,USD,PAYMENT,OUTBOUND,IN,ONLINE,IN,Synthetic ordinary domestic purchase; no rule expected,2030-01-15T12:30:00Z
DEMO-FIXTURE-T-NORMAL-8,DEMO-FIXTURE-A-NORMAL,74.2,USD,PAYMENT,OUTBOUND,IN,ONLINE,IN,Synthetic ordinary domestic purchase; no rule expected,2030-01-15T12:35:00Z
DEMO-FIXTURE-T-NORMAL-9,DEMO-FIXTURE-A-NORMAL,245.75,USD,PAYMENT,OUTBOUND,IN,ONLINE,IN,Synthetic ordinary domestic purchase; no rule expected,2030-01-15T12:40:00Z
DEMO-FIXTURE-T-NORMAL-10,DEMO-FIXTURE-A-NORMAL,61.3,USD,PAYMENT,OUTBOUND,IN,ONLINE,IN,Synthetic ordinary domestic purchase; no rule expected,2030-01-15T12:45:00Z
DEMO-FIXTURE-T-NORMAL-11,DEMO-FIXTURE-A-NORMAL,430.9,USD,PAYMENT,OUTBOUND,IN,ONLINE,IN,Synthetic ordinary domestic purchase; no rule expected,2030-01-15T12:50:00Z
DEMO-FIXTURE-T-NORMAL-12,DEMO-FIXTURE-A-NORMAL,96.45,USD,PAYMENT,OUTBOUND,IN,ONLINE,IN,Synthetic ordinary domestic purchase; no rule expected,2030-01-15T12:55:00Z
